year,month,state,gender,age_group,race,category,value,medium
2016,1,US,All,All,All,news,33.144,tv
2016,2,US,All,All,All,news,31.589,tv
2016,3,US,All,All,All,news,34.139,tv
2016,4,US,All,All,All,news,28.909,tv
2016,5,US,All,All,All,news,29.202,tv
2016,6,US,All,All,All,news,29.044,tv
2016,7,US,All,All,All,news,34.329,tv
2016,8,US,All,All,All,news,29.152,tv
2016,9,US,All,All,All,news,31.158,tv
2016,10,US,All,All,All,news,35.946,tv
2016,11,US,All,All,All,news,36.776,tv
2016,12,US,All,All,All,news,30.799,tv
2017,1,US,All,All,All,news,37.786,tv
2017,2,US,All,All,All,news,32.523,tv
2017,3,US,All,All,All,news,33.801,tv
2017,4,US,All,All,All,news,30.282,tv
2017,5,US,All,All,All,news,32.669,tv
2017,6,US,All,All,All,news,31.783,tv
2017,7,US,All,All,All,news,29.259,tv
2017,8,US,All,All,All,news,33.746,tv
2017,9,US,All,All,All,news,34.127,tv
2017,11,US,All,All,All,news,31.687,tv
2017,12,US,All,All,All,news,32.652,tv
2018,1,US,All,All,All,news,35.738,tv
2018,2,US,All,All,All,news,30.440,tv
2018,3,US,All,All,All,news,32.770,tv
2018,4,US,All,All,All,news,31.420,tv
2018,5,US,All,All,All,news,31.932,tv
2018,6,US,All,All,All,news,29.537,tv
2018,7,US,All,All,All,news,29.788,tv
2018,8,US,All,All,All,news,31.413,tv
2018,9,US,All,All,All,news,33.790,tv
2018,10,US,All,All,All,news,33.382,tv
2018,11,US,All,All,All,news,32.747,tv
2018,12,US,All,All,All,news,31.636,tv
2019,1,US,All,All,All,news,32.905,tv
2019,2,US,All,All,All,news,30.134,tv
2019,3,US,All,All,All,news,30.366,tv
2019,4,US,All,All,All,news,28.226,tv
2019,5,US,All,All,All,news,29.415,tv
2019,6,US,All,All,All,news,26.686,tv
2019,7,US,All,All,All,news,27.705,tv
2019,8,US,All,All,All,news,27.387,tv
2019,9,US,All,All,All,news,28.828,tv
2019,10,US,All,All,All,news,31.158,tv
2019,11,US,All,All,All,news,30.937,tv
2019,12,US,All,All,All,news,29.898,tv
2020,1,US,All,All,All,news,33.909,tv
2020,2,US,All,All,All,news,30.723,tv
2020,3,US,All,All,All,news,42.407,tv
2020,4,US,All,All,All,news,40.847,tv
2020,5,US,All,All,All,news,35.681,tv
2020,6,US,All,All,All,news,34.609,tv
2020,7,US,All,All,All,news,33.426,tv
2020,8,US,All,All,All,news,34.151,tv
2020,9,US,All,All,All,news,32.364,tv
2020,10,US,All,All,All,news,38.976,tv
2020,11,US,All,All,All,news,39.868,tv
2020,12,US,All,All,All,news,32.266,tv
2021,1,US,All,All,All,news,40.893,tv
2021,2,US,All,All,All,news,28.484,tv
2021,3,US,All,All,All,news,28.964,tv
2021,4,US,All,All,All,news,26.834,tv
2021,5,US,All,All,All,news,24.137,tv
2021,6,US,All,All,All,news,23.382,tv
2021,7,US,All,All,All,news,22.765,tv
2021,8,US,All,All,All,news,25.815,tv
2021,9,US,All,All,All,news,24.322,tv
2021,10,US,All,All,All,news,24.012,tv
2021,11,US,All,All,All,news,24.785,tv
2021,12,US,All,All,All,news,24.306,tv
2022,1,US,All,All,All,news,26.342,tv
2022,2,US,All,All,All,news,24.929,tv
2022,3,US,All,All,All,news,29.243,tv
2022,4,US,All,All,All,news,24.418,tv
2022,5,US,All,All,All,news,24.069,tv
2022,6,US,All,All,All,news,24.508,tv
2022,7,US,All,All,All,news,23.168,tv
2022,8,US,All,All,All,news,24.905,tv
2022,9,US,All,All,All,news,25.260,tv
2022,10,US,All,All,All,news,24.669,tv
2022,11,US,All,All,All,news,0.000,tv
2022,12,US,All,All,All,news,0.000,tv
2023,1,US,All,All,All,news,0.000,tv
2023,2,US,All,All,All,news,0.000,tv
2023,3,US,All,All,All,news,0.000,tv
2023,4,US,All,All,All,news,0.000,tv
2023,5,US,All,All,All,news,0.000,tv
2023,6,US,All,All,All,news,0.000,tv
2023,7,US,All,All,All,news,0.000,tv
2023,8,US,All,All,All,news,0.000,tv
2023,9,US,All,All,All,news,0.000,tv
2023,10,US,All,All,All,news,0.000,tv
2023,11,US,All,All,All,news,0.000,tv
2016,1,US,All,18-24,All,news,4.912,tv
2016,1,US,All,25-34,All,news,10.135,tv
2016,1,US,All,35-44,All,news,19.369,tv
2016,1,US,All,45-54,All,news,31.634,tv
2016,1,US,All,55+,All,news,58.450,tv
2016,2,US,All,18-24,All,news,4.494,tv
2016,2,US,All,25-34,All,news,9.937,tv
2016,2,US,All,35-44,All,news,18.266,tv
2016,2,US,All,45-54,All,news,30.215,tv
2016,2,US,All,55+,All,news,55.681,tv
2016,3,US,All,18-24,All,news,4.843,tv
2016,3,US,All,25-34,All,news,10.593,tv
2016,3,US,All,35-44,All,news,19.754,tv
2016,3,US,All,45-54,All,news,33.085,tv
2016,3,US,All,55+,All,news,60.032,tv
2016,4,US,All,18-24,All,news,3.852,tv
2016,4,US,All,25-34,All,news,8.284,tv
2016,4,US,All,35-44,All,news,16.124,tv
2016,4,US,All,45-54,All,news,28.125,tv
2016,4,US,All,55+,All,news,51.391,tv
2016,5,US,All,18-24,All,news,4.038,tv
2016,5,US,All,25-34,All,news,8.264,tv
2016,5,US,All,35-44,All,news,15.769,tv
2016,5,US,All,45-54,All,news,27.748,tv
2016,5,US,All,55+,All,news,52.482,tv
2016,6,US,All,18-24,All,news,4.173,tv
2016,6,US,All,25-34,All,news,8.075,tv
2016,6,US,All,35-44,All,news,15.656,tv
2016,6,US,All,45-54,All,news,27.637,tv
2016,6,US,All,55+,All,news,52.227,tv
2016,7,US,All,18-24,All,news,4.832,tv
2016,7,US,All,25-34,All,news,9.836,tv
2016,7,US,All,35-44,All,news,18.789,tv
2016,7,US,All,45-54,All,news,32.431,tv
2016,7,US,All,55+,All,news,61.631,tv
2016,8,US,All,18-24,All,news,3.913,tv
2016,8,US,All,25-34,All,news,8.225,tv
2016,8,US,All,35-44,All,news,15.776,tv
2016,8,US,All,45-54,All,news,27.393,tv
2016,8,US,All,55+,All,news,52.547,tv
2016,9,US,All,18-24,All,news,4.155,tv
2016,9,US,All,25-34,All,news,9.559,tv
2016,9,US,All,35-44,All,news,18.106,tv
2016,9,US,All,45-54,All,news,30.304,tv
2016,9,US,All,55+,All,news,54.573,tv
2016,10,US,All,18-24,All,news,4.890,tv
2016,10,US,All,25-34,All,news,11.261,tv
2016,10,US,All,35-44,All,news,21.590,tv
2016,10,US,All,45-54,All,news,35.237,tv
2016,10,US,All,55+,All,news,62.417,tv
2016,11,US,All,18-24,All,news,6.128,tv
2016,11,US,All,25-34,All,news,12.619,tv
2016,11,US,All,35-44,All,news,22.711,tv
2016,11,US,All,45-54,All,news,36.551,tv
2016,11,US,All,55+,All,news,62.558,tv
2016,12,US,All,18-24,All,news,4.037,tv
2016,12,US,All,25-34,All,news,8.446,tv
2016,12,US,All,35-44,All,news,16.808,tv
2016,12,US,All,45-54,All,news,29.299,tv
2016,12,US,All,55+,All,news,55.121,tv
2017,1,US,All,18-24,All,news,5.105,tv
2017,1,US,All,25-34,All,news,10.953,tv
2017,1,US,All,35-44,All,news,21.351,tv
2017,1,US,All,45-54,All,news,36.124,tv
2017,1,US,All,55+,All,news,66.940,tv
2017,2,US,All,18-24,All,news,4.008,tv
2017,2,US,All,25-34,All,news,9.237,tv
2017,2,US,All,35-44,All,news,18.222,tv
2017,2,US,All,45-54,All,news,31.200,tv
2017,2,US,All,55+,All,news,57.862,tv
2017,3,US,All,18-24,All,news,4.189,tv
2017,3,US,All,25-34,All,news,9.151,tv
2017,3,US,All,35-44,All,news,18.810,tv
2017,3,US,All,45-54,All,news,32.620,tv
2017,3,US,All,55+,All,news,60.272,tv
2017,4,US,All,18-24,All,news,3.647,tv
2017,4,US,All,25-34,All,news,8.317,tv
2017,4,US,All,35-44,All,news,16.610,tv
2017,4,US,All,45-54,All,news,29.263,tv
2017,4,US,All,55+,All,news,54.055,tv
