year,month,variable,archetype,value
2016,1,sizes,No or Minimal News,53080028.48390
2016,2,sizes,No or Minimal News,56623523.64285
2016,3,sizes,No or Minimal News,56320525.41931
2016,4,sizes,No or Minimal News,61644817.13330
2016,5,sizes,No or Minimal News,63423944.19357
2016,6,sizes,No or Minimal News,62316236.89995
2016,7,sizes,No or Minimal News,58957638.80646
2016,8,sizes,No or Minimal News,62667665.35477
2016,9,sizes,No or Minimal News,57403421.43331
2016,10,sizes,No or Minimal News,53356948.41929
2016,11,sizes,No or Minimal News,44900982.73329
2016,12,sizes,No or Minimal News,61251549.77419
2017,1,sizes,No or Minimal News,55321345.06449
2017,2,sizes,No or Minimal News,63749094.14288
2017,3,sizes,No or Minimal News,65591794.83874
2017,4,sizes,No or Minimal News,67692864.06667
2017,5,sizes,No or Minimal News,68371002.67742
2017,6,sizes,No or Minimal News,70510256.30008
2017,7,sizes,No or Minimal News,75623847.16127
2017,8,sizes,No or Minimal News,67563395.22589
2017,9,sizes,No or Minimal News,65328140.13334
2017,10,sizes,No or Minimal News,66012186.02860
2017,11,sizes,No or Minimal News,67898735.09997
2017,12,sizes,No or Minimal News,69080853.09670
2018,1,sizes,No or Minimal News,66512828.16120
2018,2,sizes,No or Minimal News,73360851.71428
2018,3,sizes,No or Minimal News,72710106.74197
2018,4,sizes,No or Minimal News,75896653.33327
2018,5,sizes,No or Minimal News,74238181.96769
2018,6,sizes,No or Minimal News,78713698.73341
2018,7,sizes,No or Minimal News,82105143.32267
2018,8,sizes,No or Minimal News,81729659.03231
2018,9,sizes,No or Minimal News,76494845.66669
2018,10,sizes,No or Minimal News,77925723.35480
2018,11,sizes,No or Minimal News,72229069.79999
2018,12,sizes,No or Minimal News,77096264.45161
2019,1,sizes,No or Minimal News,80164017.83871
2019,2,sizes,No or Minimal News,82174857.75000
2019,3,sizes,No or Minimal News,83920310.58065
2019,4,sizes,No or Minimal News,88605464.50000
2019,5,sizes,No or Minimal News,87168167.51613
2019,6,sizes,No or Minimal News,88332300.76667
2019,7,sizes,No or Minimal News,92510247.16129
2019,8,sizes,No or Minimal News,94093215.03226
2019,9,sizes,No or Minimal News,89546946.13333
2019,10,sizes,No or Minimal News,89421081.19355
2019,11,sizes,No or Minimal News,87642450.46667
2019,12,sizes,No or Minimal News,86415858.96774
2020,1,sizes,No or Minimal News,84953717.77419
2020,2,sizes,No or Minimal News,88199876.34483
2020,3,sizes,No or Minimal News,74943949.77419
2020,4,sizes,No or Minimal News,85465788.26667
2020,5,sizes,No or Minimal News,92369362.54839
2020,6,sizes,No or Minimal News,95390225.00000
2020,7,sizes,No or Minimal News,100980759.90323
2020,8,sizes,No or Minimal News,98409933.54839
2020,9,sizes,No or Minimal News,93618566.06667
2020,10,sizes,No or Minimal News,88969518.54839
2020,11,sizes,No or Minimal News,79264501.23333
2020,12,sizes,No or Minimal News,100035135.45161
2021,1,sizes,No or Minimal News,89849350.70968
2021,2,sizes,No or Minimal News,107523467.32143
2021,3,sizes,No or Minimal News,106823946.09677
2021,4,sizes,No or Minimal News,105852267.46667
2021,5,sizes,No or Minimal News,110363254.74194
2021,6,sizes,No or Minimal News,113002330.36667
2021,7,sizes,No or Minimal News,115296375.16129
2021,8,sizes,No or Minimal News,110917678.19355
2021,9,sizes,No or Minimal News,112949718.20000
2021,10,sizes,No or Minimal News,111613278.25806
2021,11,sizes,No or Minimal News,111537510.73333
2021,12,sizes,No or Minimal News,111511624.80645
2022,1,sizes,No or Minimal News,109850862.45161
2022,2,sizes,No or Minimal News,113275177.14286
2022,3,sizes,No or Minimal News,109768568.32258
2022,4,sizes,No or Minimal News,117625825.83333
2022,5,sizes,No or Minimal News,117393003.51613
2022,6,sizes,No or Minimal News,118253944.16667
2022,7,sizes,No or Minimal News,124782030.22581
2022,8,sizes,No or Minimal News,124580177.00000
2022,9,sizes,No or Minimal News,118191632.33333
2022,10,sizes,No or Minimal News,122307385.77419
2016,1,mins_p_person,No or Minimal News,4.74718
2016,2,mins_p_person,No or Minimal News,4.68219
2016,3,mins_p_person,No or Minimal News,4.61666
2016,4,mins_p_person,No or Minimal News,4.42847
2016,5,mins_p_person,No or Minimal News,4.55638
2016,6,mins_p_person,No or Minimal News,4.45616
2016,7,mins_p_person,No or Minimal News,4.31056
2016,8,mins_p_person,No or Minimal News,4.68519
2016,9,mins_p_person,No or Minimal News,4.31927
2016,10,mins_p_person,No or Minimal News,4.45821
2016,11,mins_p_person,No or Minimal News,4.37344
2016,12,mins_p_person,No or Minimal News,4.42698
2017,1,mins_p_person,No or Minimal News,4.36276
2017,2,mins_p_person,No or Minimal News,4.08753
2017,3,mins_p_person,No or Minimal News,4.20157
2017,4,mins_p_person,No or Minimal News,4.12534
2017,5,mins_p_person,No or Minimal News,4.13547
2017,6,mins_p_person,No or Minimal News,3.99857
2017,7,mins_p_person,No or Minimal News,3.78068
2017,8,mins_p_person,No or Minimal News,4.02864
2017,9,mins_p_person,No or Minimal News,4.15407
2017,10,mins_p_person,No or Minimal News,4.20497
2017,11,mins_p_person,No or Minimal News,4.22943
2017,12,mins_p_person,No or Minimal News,4.09059
2018,1,mins_p_person,No or Minimal News,3.94973
2018,2,mins_p_person,No or Minimal News,3.85043
2018,3,mins_p_person,No or Minimal News,3.84620
2018,4,mins_p_person,No or Minimal News,3.84829
2018,5,mins_p_person,No or Minimal News,3.67651
2018,6,mins_p_person,No or Minimal News,3.71647
2018,7,mins_p_person,No or Minimal News,3.57081
2018,8,mins_p_person,No or Minimal News,3.49224
2018,9,mins_p_person,No or Minimal News,3.53511
2018,10,mins_p_person,No or Minimal News,3.67610
2018,11,mins_p_person,No or Minimal News,3.68946
2018,12,mins_p_person,No or Minimal News,3.59456
2019,1,mins_p_person,No or Minimal News,3.44060
2019,2,mins_p_person,No or Minimal News,3.09037
2019,3,mins_p_person,No or Minimal News,3.47041
2019,4,mins_p_person,No or Minimal News,3.39869
2019,5,mins_p_person,No or Minimal News,3.27995
2019,6,mins_p_person,No or Minimal News,3.34869
2019,7,mins_p_person,No or Minimal News,2.99456
2019,8,mins_p_person,No or Minimal News,3.00399
2019,9,mins_p_person,No or Minimal News,3.26929
2019,10,mins_p_person,No or Minimal News,3.26879
2019,11,mins_p_person,No or Minimal News,3.21241
2019,12,mins_p_person,No or Minimal News,3.29425
2020,1,mins_p_person,No or Minimal News,3.22039
2020,2,mins_p_person,No or Minimal News,2.92274
2020,3,mins_p_person,No or Minimal News,3.06303
2020,4,mins_p_person,No or Minimal News,2.87883
2020,5,mins_p_person,No or Minimal News,2.82033
2020,6,mins_p_person,No or Minimal News,2.64728
